trng_se_nm,file_url,vdo_desc,file_sz,trng_aim_nm,fps_cnt,row_num,resolution,tool_nm,aggrp_nm,frme_no,img_file_nm,fbctn_yr,nope_nm,vdo_len,lang,trng_nm,job_ymd,ftns_fctr_nm,vdo_ttl_nm,snap_tm,file_type_nm,file_nm,img_file_url,img_file_sn,data_type,trng_part_nm
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1223,1920*1080,짐볼,공통,14936,0AUDLJ08S_00050_SC_00139.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,498.364,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,136,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1224,1920*1080,짐볼,공통,15110,0AUDLJ08S_00050_SC_00140.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,504.17,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,137,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1225,1920*1080,짐볼,공통,15226,0AUDLJ08S_00050_SC_00141.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,508.04,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,138,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1226,1920*1080,짐볼,공통,15255,0AUDLJ08S_00050_SC_00142.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,509.008,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,139,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1227,1920*1080,짐볼,공통,15284,0AUDLJ08S_00050_SC_00143.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,509.976,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,140,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1228,1920*1080,짐볼,공통,15400,0AUDLJ08S_00050_SC_00144.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,513.846,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,141,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1229,1920*1080,짐볼,공통,15429,0AUDLJ08S_00050_SC_00145.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,514.814,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,142,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1230,1920*1080,짐볼,공통,15458,0AUDLJ08S_00050_SC_00146.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,515.781,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,143,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1231,1920*1080,짐볼,공통,15487,0AUDLJ08S_00050_SC_00147.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,516.749,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,144,동영상,복근
근력 운동(짐볼),http://openapi.kspo.or.kr/web/video/,짐볼을 활용한 근력운동 프로그램,203502619,근력운동,29.97,1232,1920*1080,짐볼,공통,15516,0AUDLJ08S_00050_SC_00148.jpeg,2021,1인 이상,1224,한국어,상체 옆으로 들어올리기,20221007,근력/근지구력,짐볼을 활용한 근력운동 프로그램,517.717,mp4,0AUDLJ08S_00050.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00050/,145,동영상,복근
